year,area_type,percentage
2000,Urban,61.969
2000,Rural,38.031
2001,Urban,63.018
2001,Rural,36.982
2002,Urban,64.056
2002,Rural,35.944
2003,Urban,65.075
2003,Rural,34.925
2004,Urban,66.065
2004,Rural,33.935
2005,Urban,67.016
2005,Rural,32.984
2006,Urban,67.919
2006,Rural,32.081
2007,Urban,68.765
2007,Rural,31.235
2008,Urban,69.544
2008,Rural,30.456
2009,Urban,70.246
2009,Rural,29.754
2010,Urban,70.863
2010,Rural,29.137
2011,Urban,71.425
2011,Rural,28.575
2012,Urban,71.968
2012,Rural,28.032
2013,Urban,72.488
2013,Rural,27.512
2014,Urban,72.98
2014,Rural,27.02
2015,Urban,73.439
2015,Rural,26.561
2016,Urban,73.859
2016,Rural,26.141
2017,Urban,74.235
2017,Rural,25.765
2018,Urban,74.563
2018,Rural,25.437
2019,Urban,74.838
2019,Rural,25.162
2020,Urban,75.051
2020,Rural,24.949
2021,Urban,75.509
2021,Rural,24.491
2022,Urban,75.974
2022,Rural,24.026
2023,Urban,76.443
2023,Rural,23.557
2024,Urban,76.917
2024,Rural,23.083
