year,population,population_million
2000,22967816,22.97
2001,23526538,23.53
2002,24102477,24.1
2003,24679602,24.68
2004,25256772,25.26
2005,25836071,25.84
2006,26417909,26.42
2007,26998389,27.0
2008,27570059,27.57
2009,28124778,28.12
2010,28655776,28.66
2011,29162039,29.16
2012,29662831,29.66
2013,30174265,30.17
2014,30696137,30.7
2015,31232798,31.23
2016,31789685,31.79
2017,32355644,32.36
2018,32910967,32.91
2019,33440596,33.44
2020,33889558,33.89
2021,34282399,34.28
2022,34695493,34.7
2023,35126298,35.13
2024,35557673,35.56
