chart,year,sex,age,age_order,age_group,age_group_order,population_thousand,population_million,pyramid_population_million,percentage
age_structure,2024,both,,,0-14,1,7550.8,7.551,,22.2
age_structure,2024,both,,,15-24,2,5881.2,5.881,,17.3
age_structure,2024,both,,,25-54,3,15198.7,15.199,,44.6
age_structure,2024,both,,,55-64,4,2812.4,2.812,,8.3
age_structure,2024,both,,,65+,5,2609.0,2.609,,7.7
pyramid,2024,Female,0-4,1,0-14,1,1140.6,1.141,1.141,
pyramid,2024,Female,5-9,2,0-14,1,1258.9,1.259,1.259,
pyramid,2024,Female,10-14,3,0-14,1,1261.2,1.261,1.261,
pyramid,2024,Female,15-19,4,15-24,2,1296.7,1.297,1.297,
pyramid,2024,Female,20-24,5,15-24,2,1428.9,1.429,1.429,
pyramid,2024,Female,25-29,6,25-54,3,1332.2,1.332,1.332,
pyramid,2024,Female,30-34,7,25-54,3,1330.1,1.33,1.33,
pyramid,2024,Female,35-39,8,25-54,3,1335.2,1.335,1.335,
pyramid,2024,Female,40-44,9,25-54,3,1223.4,1.223,1.223,
pyramid,2024,Female,45-49,10,25-54,3,967.4,0.967,0.967,
pyramid,2024,Female,50-54,11,25-54,3,845.7,0.846,0.846,
pyramid,2024,Female,55-59,12,55-64,4,737.3,0.737,0.737,
pyramid,2024,Female,60-64,13,55-64,4,667.4,0.667,0.667,
pyramid,2024,Female,65-69,14,65+,5,536.4,0.536,0.536,
pyramid,2024,Female,70-74,15,65+,5,386.4,0.386,0.386,
pyramid,2024,Female,75-79,16,65+,5,238.6,0.239,0.239,
pyramid,2024,Female,80-84,17,65+,5,117.1,0.117,0.117,
pyramid,2024,Female,85+,18,65+,5,69.7,0.07,0.07,
pyramid,2024,Male,0-4,1,0-14,1,1214.8,1.215,-1.215,
pyramid,2024,Male,5-9,2,0-14,1,1315.8,1.316,-1.316,
pyramid,2024,Male,10-14,3,0-14,1,1359.5,1.359,-1.359,
pyramid,2024,Male,15-19,4,15-24,2,1427.9,1.428,-1.428,
pyramid,2024,Male,20-24,5,15-24,2,1727.6,1.728,-1.728,
pyramid,2024,Male,25-29,6,25-54,3,1704.1,1.704,-1.704,
pyramid,2024,Male,30-34,7,25-54,3,1626.0,1.626,-1.626,
pyramid,2024,Male,35-39,8,25-54,3,1521.5,1.522,-1.522,
pyramid,2024,Male,40-44,9,25-54,3,1384.6,1.385,-1.385,
pyramid,2024,Male,45-49,10,25-54,3,1051.0,1.051,-1.051,
pyramid,2024,Male,50-54,11,25-54,3,877.4,0.877,-0.877,
pyramid,2024,Male,55-59,12,55-64,4,735.5,0.736,-0.736,
pyramid,2024,Male,60-64,13,55-64,4,672.2,0.672,-0.672,
pyramid,2024,Male,65-69,14,65+,5,515.1,0.515,-0.515,
pyramid,2024,Male,70-74,15,65+,5,364.1,0.364,-0.364,
pyramid,2024,Male,75-79,16,65+,5,207.8,0.208,-0.208,
pyramid,2024,Male,80-84,17,65+,5,98.2,0.098,-0.098,
pyramid,2024,Male,85+,18,65+,5,75.8,0.076,-0.076,
